AirportKey,AirportCode,CityName,StateCode,StateName,Region,ReliabilityScore,FlightCount,MonthlyDelayRate
e02797d6ada2b134b078fdaf0dfce2bd27e1200de8e256e5fd48477fe732c4ad,BFL,"Bakersfield, CA",CA,California,West,89.72,9759,0.17317073170731706
eab1559603c974a68784915e2bf20ee9876e5036d01f4b86952a6edbacf34298,CDV,"Cordova, AK",AK,Alaska,West,88.41,2896,0.21862348178137653
8436495162969e0ebae74cffd4d19d1c172daa4eefca641db9e4ec947a9f0faa,DIK,"Dickinson, ND",ND,North Dakota,Midwest,87.88,2270,0.18333333333333332
03fb8f063e660e0f2ed131900b835f32b018f5f8d3add5c5b0142178fd868636,CMX,"Hancock/Houghton, MI",MI,Michigan,Midwest,88.27,2824,0.18672199170124482
c98de5b57272b300743ebd37e9b07bc7d946f8de3172a1f60299829d11857b28,TLH,"Tallahassee, FL",FL,Florida,South,90.77,20440,0.1556350626118068
2e169101f7bb780ecf3d8a865bbceeb11b8f440f3662fb30dadb424566c48379,GUC,"Gunnison, CO",CO,Colorado,West,85.88,3545,0.17218543046357615
7cd8b1d2dd2389697b97e7728be16ed0ff64e0172c35d54b08e7347dcb1055e2,SCE,"State College, PA",PA,Pennsylvania,Northeast,91.22,11973,0.1544477028347996
f928cd452f90fd78f941ff73843d89626c319683ea3b1b6ccf162f4c25a43e71,AVL,"Asheville, NC",NC,North Carolina,South,87.26,40287,0.2082675092153765
79fed7c6d6eb5db34970d072d6eb511c817a03d8bd978beec9aeb96224cc9f19,WRG,"Wrangell, AK",AK,Alaska,West,90.37,2898,0.15725806451612903
97f42e5989fbc77d78b04d728bf30aff477a17c2b92585216e5cfdd0ccd94aea,LCH,"Lake Charles, LA",LA,Louisiana,South,91.42,6811,0.14690265486725665
bf969b7ebaa7f54da6b59a9a4ac1abc4b97810dcab420bf9950529ea74496b59,DRT,"Del Rio, TX",TX,Texas,South,91.61,1979,0.07035175879396985
45b14de1a664aabfc059e8dfa1d5bc59f7f7ca474f019f70e7ca77c51aaafd33,ABI,"Abilene, TX",TX,Texas,South,91.2,7380,0.18032786885245902
71b630bb194950f6f95f14b69c470cb016a17bff18369bbf5def9cfb6ce656a4,AVP,"Scranton/Wilkes-Barre, PA",PA,Pennsylvania,Northeast,89.43,11579,0.1872871736662883
80d0e12571232fa8d2ee2d04930501f7e7f00940c7ce5b178e73f34905908ee9,FAI,"Fairbanks, AK",AK,Alaska,West,89.96,17191,0.11241610738255034
b1575e1e14f2132cb0c4fa22cd1f145f177e098a5708bae137480a4ba0124cb8,OWB,"Owensboro, KY",KY,Kentucky,South,81.74,331,0.17647058823529413
714e0a63968063663b6f00c2c822d135d1803c0cffc760b2a07fe675d34a2621,XNA,"Fayetteville, AR",AR,Arkansas,South,89.77,44121,0.18666666666666668
a6c1dbb7d91a3fdd1e3ce7b41a98cc4224ba8fc1b54b5d185d73c51d81268c99,SCK,"Stockton, CA",CA,California,West,76.56,2525,0.40606060606060607
c7953dfefd201fd7051da574859e8c0b44452e42bb13b84d122ed67d6df221b2,SMX,"Santa Maria, CA",CA,California,West,79.9,732,0.2857142857142857
1eb6798cd8a894ed2feb8510c9f13309a4c535736a6dad05ecd3e7a2256ae3db,BRD,"Brainerd, MN",MN,Minnesota,Midwest,93.63,2603,0.0761904761904762
76102f16a00487bdb5a065a7f3b745e5c2370b8b252c01fa0da5649427651cef,BNA,"Nashville, TN",TN,Tennessee,South,86.75,319455,0.16735195788341084
7b3bcef71f396e4df4fa03e73826f836bbde07ecdd0c8eec1879500914b6ac64,ISP,"Islip, NY",NY,New York,Northeast,85.7,18624,0.19744160177975528
24584b0bb279fdef771e92a94bbf640bb4f63efe173bb58740e7c87eaccff5b6,RST,"Rochester, MN",MN,Minnesota,Midwest,91.49,8862,0.1671270718232044
74649c025d392f3521d0dd012917eada30c1683bcb328c4553756ab693c9ed75,VCT,"Victoria, TX",TX,Texas,South,93.27,1946,0.08496732026143791
